Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Publisher,ISSN,ISBN,CODEN,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Pek S.E., Koh J.H.L.","57330743000;36486598100;","Team formation using character-based gamification: Effects on online teamwork experience during COVID-19",2021,"ICCSE 2021 - IEEE 16th International Conference on Computer Science and Education",,,,"247","252",,,"10.1109/ICCSE51940.2021.9569643","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118934667&doi=10.1109%2fICCSE51940.2021.9569643&partnerID=40&md5=4b1853049f7cf46efeafcc28917260e1","Due to the ongoing COVID-19 pandemic, higher education institutions have been forced to shut down physical classes and shift to online lessons. This has presented many new challenges for lecturers and students, especially for online interactions and working remotely in teams which is not an uncommon practice in design and media industry. This study investigates how the use of character-based gamification for design team formation can help lecturers to address the problems of teamwork among design and media students as well as the new emerging challenges in online collaborative environments. In this gamified learning intervention, the personality, roles and abilities of students' chosen game characters were used by the lecturers as references and insights to form teams for collaborative design projects. The data for the study is based on the teamwork experiences of 47 design and media students at a tertiary arts institution in Singapore. These students undertook team projects in no character assigned teams, random characters assigned teams, and characters matched teams assigned by matching students with the personalities, roles, and abilities of their chosen game characters. The results indicate that students' perception of online teamwork experience was most positive when working in teams matched with game characters. This study contributes recommendations for higher education lecturers on guidelines and procedure for team formation in ways that positively increase teamwork quality, student motivation, and enjoyment in online team projects. © 2021 IEEE.","Institute of Electrical and Electronics Engineers Inc.",,9781665414685,,"ICCSE - IEEE Int. Conf. Comput. Sci. Educ.",Conference Paper,"Final","",Scopus,2-s2.0-85118934667
"Häkkinen J., Ihantola P., Luukkainen M., Leinonen A., Leinonen J.","57233704500;14019704700;8944855100;57198491269;57156123300;","Persistence of Time Management Behavior of Students and Its Relationship with Performance in Software Projects",2021,"ICER 2021 - Proceedings of the 17th ACM Conference on International Computing Education Research",,,,"92","100",,2,"10.1145/3446871.3469767","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113600500&doi=10.1145%2f3446871.3469767&partnerID=40&md5=3e25834a708eef7bafa4cc9e8d4ec878","Teachers often preach for their students to start working on assignments early. There is even a fair amount of scientific evidence that starting early is beneficial for learning. In this work, we investigate students' time management behavior in a second-year project-based software engineering course. In the course, students work on a software project in small groups of four to six students. We study time management from multiple angles. Firstly, we conduct an exploratory factor analysis and study how different time management related behavioral metrics are related to one another, for example, whether individual students' time management practices in the second-year group project-based course are similar to their earlier time management practices in first-year courses where students work on assignments individually. Understanding how students' previous time management behavior is manifested in later project-based courses would be beneficial when designing project-based education. Secondly, we study whether students' time management practices affect the peer-review scores they get from their group members. Lastly, we explore how time management affects course performance. Our findings suggest that time management behavior, even from courses taken in the past, can be used to predict how students perform in future courses. © 2021 ACM.","Association for Computing Machinery, Inc",,9781450383264,,"ICER - Proc. ACM Conf. Int. Comput. Educ. Res.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85113600500
"Hamer S., Quesada-López C., Martínez A., Jenkins M.","57234711200;56380571400;7404026565;23094218000;","Using git metrics to measure students’ and teams’ code contributions in software development projects",2021,"CLEI Eletronic Journal (CLEIej)","24","2",,"","",,,"10.19153/cleiej.24.2.8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118949311&doi=10.19153%2fcleiej.24.2.8&partnerID=40&md5=30d640b2e71a8b1a9b9d23967633c0f0","Many software engineering courses are centered around team-based project development. Analyzing the source code contributions during the projects’ development could provide both instructors and students with constant feedback to identify common trends and behaviors that can be improved during the courses. Evaluating course projects is a challenge due to the difficulty of measuring individual student contributions versus team contributions during the development. The adoption of distributed version control systems like git enables the measurement of students’ and teams’ contributions to the project. In this work, we analyze the contributions within eight software development projects, with 150 students in total, from undergraduate courses that used project-based learning. We generate visualizations of aggregated git metrics using inequality measures and the contribution per module, offering insights into the practices and processes followed by students and teams throughout the project development. This approach allowed us to identify inequality among students’ contributions, the modules where students contributed, development processes with a non-steady pace, and integration practices rendering a useful feedback tool for instructors and students during the project’s development. Further studies can be conducted to assess the quality, complexity, and ownership of the contributions by analyzing software artifacts. Copyright © 2021 The Authors, some rights reserved;","Latin American Center for Informatics Studies",07175000,,,"CLEI Electr. J. (CLEIej)",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85118949311
"Das Neves R.M., Lima R.M., Mesquita D.","55834727100;24476304200;55213987200;","Teacher competences for active learning in engineering education",2021,"Sustainability (Switzerland)","13","16","9231","","",,,"10.3390/su13169231","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113508533&doi=10.3390%2fsu13169231&partnerID=40&md5=975eded209eec480aeaefb5f6edcdf2a","The implementation of active learning strategies in engineering education still encounters barriers when facing conventional teaching-learning practices. This work aims to contribute to the discussion on teachers’ pedagogical competences required for active learning. This contribution is developed from the perceptions of 205 engineering teachers of Brazilian higher education institutions, centered on significant teaching competences necessary for teachers of engineering courses and how to develop them in the active learning context. The results show that essential competences identified by the participants are (I) teamwork (teachers’ cooperation); (II) teacher–student relationships (empathy); (III) feedback about students’ performance throughout the learning process; (IV) information and communication technology (ICT) competences; (V) selecting and adapting the teaching-learning methodologies to the class context; and (VI) creativity. A complementary logistic regression model suggested that female Ph.D. full-time teachers are more likely to employ active learning. Differences in active learning adoption among Brazilian regions were also captured by the model. The identified competences are essential for the sustainability of the innovation of teaching practices in the context of active learning, which may be used to inform more effective professional training of engineering teachers in the current globalized scenario. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","MDPI",20711050,,,"Sustainability",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85113508533
"Babo R., Fitas R., Suhonen J., Tukiainen M.","36459566700;57211251569;7006843907;56011914400;","Webavalia: Algorithm Improvement of an eAssessment Tool Based on a User Survey",2021,"Revista Iberoamericana de Tecnologias del Aprendizaje","16","3",,"283","293",,,"10.1109/RITA.2021.3122942","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122319922&doi=10.1109%2fRITA.2021.3122942&partnerID=40&md5=4f25426cb8bd8d0c541533ddf2cdf84a","There has been an increased use of workgroups during Problem-Based Learning (PBL) activities, which have implied the emergence of self and peer evaluation practices in education. In turn, these practices have highlighted the importance of e-assessment tools where the collection of feedback is regarded. The consideration of the students' self and peer assessment about a project has influence on their individual mark. Literature states that e-assessment tools need to consider restrictions in the students' distribution of scores during the self and peer assessment. An emerging technology that has recently started to be applied in the development of software tools is Machine Learning. This technology allows the possibility to implement algorithms that can process the students' feedback about their marks, increasing the efficiency on the methodology implemented. This paper presents a framework that collects feedback of a survey and translates those results in parameter values that will dynamically change the distribution function of the final individuals' mark. The advantages and restrictions of different solutions for the framework, based on the literature, are also discussed. Finally, there is the presentation of WEBAVALIA, a free software tool where the framework will be implemented, improving its usability, user experience, flexibility, and efficiency. © 2013 IEEE.","Education Society of IEEE (Spanish Chapter)",19328540,,,"Rev. Iberoam. Technol. Aprendizaje",Article,"Final","",Scopus,2-s2.0-85122319922
"Fernandes S., Dinis-Carvalho J., Ferreira-Oliveira A.T.","16315361800;42161356600;57201579740;","Improving the performance of student teams in project-based learning with scrum",2021,"Education Sciences","11","8","444","","",,2,"10.3390/educsci11080444","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113788608&doi=10.3390%2feducsci11080444&partnerID=40&md5=4f4ad89b22e1829d24401e4f4a32b086","The purpose of this paper is to analyze the effectiveness of Scrum for project and team management in PBL teams in higher education. To attain this goal, a study was carried out to analyze students’ perceptions about Scrum as an effective method for PBL teams. Based on two different editions of PBL that used the Scrum method with different characteristics in each approach, this paper aims to identify the best practices for effective team and project management and draw recommendations for successful use of scrum in PBL approaches. The authors used an exploratory case study carried out within an engineering program at the University of Minho, Portugal. The research design was based on an explorative quantitative and qualitative approach. Implementing Scrum in PBL teams helps students to keep the project running smoothly and draws greater awareness on how to manage the project and teams in a more effective way. Findings show that task assignment, performance monitoring, visual management and regular feedback were considered the main advantages of using Scrum in PBL teams, which had a positive impact on student performance. However, for the success of Scrum, students recognize the role of the Scrum Master and Project Owner as vital to guide the teams in a sustainable way. Research on the application of Scrum in Education is scarce and mostly exploratory. This paper is among the very few empirical studies consolidating knowledge on the implementation of Scrum approaches to improve learning in higher education. More specifically, it brings a valuable contribution on how to improve specifically team performance in PBL teams with the use of agile approaches such as Scrum. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","MDPI AG",22277102,,,"Educ. Sci.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85113788608
"Hussein B.","6602742201;","Addressing collaboration challenges in project-based learning: The student’s perspective",2021,"Education Sciences","11","8","434","","",,,"10.3390/educsci11080434","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85113508067&doi=10.3390%2feducsci11080434&partnerID=40&md5=836b62a539726ca377ad6a6c21caec9b","Project-based learning has been explored in a variety of contexts and different phases of education. Several implementation challenges are associated with project-based learning. Among these challenges is ensuring collaboration between students enrolled in a project assignment. The purpose of this study was to present several practical insights on how to tackle collaboration challenges in project-based learning. The study is based on the qualitative analysis of 67 reflections reports submitted by students who were enrolled in a project-based learning assignment in engineering education. The results suggest that collaboration challenges can be traced to priority conflicts between students as well as to the uncertainty in the project assignment. The results further suggest that these challenges can be successfully addressed by applying a structured project-management approach to planning, communication, and follow up. In addition, the findings suggest this structured approached should be supported by a mindset that recognizes the importance of adaptations and flexibility as the project develops. Moreover, the findings suggest that a collaboration environment based on inclusion, openness, and support enables students to respond to emerging problems and disagreements. The paper outlines several recommendations on how to improve students’ collaboration ability within project teams in the context of project-based assignments. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.","MDPI AG",22277102,,,"Educ. Sci.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85113508067
"Pérez-Parra J.C., Useche-Castro L.M., Riera M.A., Batista-Zaldívar M.A., Torres-Puentes J.C., Cano-De Torres Y.N.","57223691654;57223706477;57218576623;55444120700;57223676313;57223679357;","Evaluation of organizational factors in the implementation of integrating knowledge projects in the second level of the chemical engineering degree [Avaliação de fatores organizacionais na implementação de projetos integradores de saberes no segundo nível da Carreira de Engenharia Química] [Evaluación de factores organizacionales en la implementación de proyectos integradores de saberes en el segundo nivel de la Carrera de Ingeniería Química]",2021,"Revista Electronica Educare","25","2",,"","",,,"10.15359/ree.25-2.2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85105983934&doi=10.15359%2free.25-2.2&partnerID=40&md5=2a0dc7891eaa26b52864bb1180e3d883","In the academic period of October 2017 to February 2018, integrated knowledge projects were carried out for the first time in the second level of the Chemical Engineering career at the Universidad Técnica de Manabí (UTM). At the end of this academic period, 66% of the students did not reach the minimum qualification necessary to consider the integrating knowledge projects as approved. This research aimed to evaluate if the organizational factors to be taken into account when implementing learning strategies based on problem-solving were considered during the mentioned academic period, such as integrating knowledge projects. This study was conducted by implementing two instruments designed to collect information, one for the teaching staff and the other one for the students. Among the evaluated aspects are the number of students per workgroup and per course, criteria for group formation, the definition of the topic of the integrating knowledge projects, identification of the problem to be solved, support through tutorials, cooperative learning, teachers trained in integrating knowledge projects, among others are highlighted. When the collected information was compared with other studies carried out in this matter, it was found that several of the aspects evaluated in this study were not established in correspondence with learning through integrating knowledge projects. Among the obtained results stands out the need for the UTM to have a normative framework for implementing the integrating knowledge projects in which the evaluated aspects are adapted to teaching based on problem-solving, and prior training is considered mandatory for both teachers and students in this learning strategy. © 2021 Universidad Nacional. All rights reserved.","Universidad Nacional",14094258,,,"Rev. Electron. Educare",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85105983934
"Nguyen H., Lim K.Y., Wu L.L., Fischer C., Warschauer M.","57215185530;55912480300;55714263300;57217540442;6603955476;","“We're looking good”: Social exchange and regulation temporality in collaborative design",2021,"Learning and Instruction","74",,"101443","","",,5,"10.1016/j.learninstruc.2021.101443","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099598542&doi=10.1016%2fj.learninstruc.2021.101443&partnerID=40&md5=b095aa9be0a5b4f7083acd94e180f3fd","Collaborative tasks do not always promote equal learning. Varying levels of social interactions and regulation at the individual and group levels can influence knowledge construction efforts and learning success. To understand which collaboration patterns may be more conducive to learning, this study examined the relation between social exchange, regulation, and learning outcomes. Four project-based engineering undergraduate teams were audiotaped in collaborative tasks (7514 talk turns). Discourse was coded for regulation processes and types (self and socially shared regulation), and analyzed with Epistemic Network Analysis and Process Mining. We find that teams who reported more frequent social exchange engaged in shared regulation together with planning and monitoring more frequently, while teams with less exchange engaged in long durations of collaboration. Furthermore, students in teams with more engaged regulation reported enhanced beliefs in group efficacy to solve collaborative tasks. The study illustrates the potential of applying quantitative approaches to analyzing rich discourse. © 2021 Elsevier Ltd","Elsevier Ltd",09594752,,LEAIE,"Learn. Instr.",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85099598542
"Dos Santos S.C., Reis P.B.S., Reis J.F.S., Tavares F.","26768300700;57195151749;57200502583;57220091423;","Two Decades of PBL in Teaching Computing: A Systematic Mapping Study",2021,"IEEE Transactions on Education","64","3","9264764","233","244",,2,"10.1109/TE.2020.3033416","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096872043&doi=10.1109%2fTE.2020.3033416&partnerID=40&md5=949616df8f09823d9f6c71463621f084","Contribution: This article adds to the results of previous systematic mapping study by addressing a more ample context of problem-based learning (PBL) in computing education. Background: PBL is defined as an instructional method of constructivist teaching that uses real problems as a motivating element for learning. Although PBL was born in medical education, it has been used in computing education to facilitate the students' engagement and learning capacity, contributing to developing skills, such as teamwork, holistic vision, critical thinking, and solving problem. Considering that approach much more descriptive than prescriptive, it favors the implementation of diverse methodologies on its behalf. Research Question: 'How the PBL approach has been applied in teaching computing?' Methodology: From the initial set of 3837 studies, 102 primary studies were selected and categorized through Kitchenham methodology for analysis from 1999 to 2019. Findings: Based on these studies, it was possible to verify a greater adoption of PBL in undergraduate education and a great diversity of strategies involving real-world problems, developing technical and no-technical skills and making the student much more motivated and engaged. Challenges were also mapped, which shows a very interesting field for new research. © 1963-2012 IEEE.","Institute of Electrical and Electronics Engineers Inc.",00189359,,IEEDA,"IEEE Trans Educ",Article,"Final","",Scopus,2-s2.0-85096872043
"Brown T., Tenbergen B.","57215971146;23398625300;","Teaching Software Quality Assurance (SQA) during COVID-19 Using the HyFlex Approach - Course Design, Results, and Experiences",2021,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124568603&partnerID=40&md5=1ffdbdf4648fe0619ad0d7fd5430e781","This full paper discusses the HyFlex pedagogical approach to teaching a highly interactive face-to-face Software Quality Assurance (SQA) course during the COVID-19 pandemic. HyFlex, short for hybrid-flexibility, is a teaching model where instructors and students have the option to attend scheduled courses face-to-face (F2F) or remotely. In this teaching model the learning outcomes for the course remain the same for all who enroll regardless of the mode of attendance. Our HyFlex SQA approach consists of lectures (in class, with video recordings), face-to-face activities, as well as group assignments, group projects, and exams all facilitated through an online campus management system. During the lecture period, the instructor delivers content in the form of lecture slides and writing on a whiteboard. This poses significant challenges for the instructor, as the learning outcomes have to be delivered in different modalities, but with the same quality. This is particularly difficult in SQA courses, as these require instruction in formal methods as well as systematic justification of engineering choices, both of which are best facilitated in F2F fashion that implement Think-Pair-Share (TPS) amongst students. TPS is an active learning technique in which students are allocated adequate time to think individually on a task posed by the instructor, followed by pair discussions, and then as a class discussion. The task given by the instructor is of similar complexity to that which is covered as an example during lecture. Online synchronous activities involve students participating in TPS by working collaboratively as a group on tasks that correspond with concepts covered in the slide-based lectures. This way students learn from each other by thinking individually then sharing ideas in the classroom, thus contributing to better understanding of course content. For assignments and projects students are allocated a portion of the class time to meet with group members and discuss their activities. Groups also have the option to ask the instructor questions aloud that will help other groups to complete their assignments and projects successfully. Delivering these in a hybrid format was required during the fall of 2020 due to COVID-19 restrictions. The results show that while performance in projects and homework assignments remained constant, final exam performance was significantly (p < 0.05) lower in 2020 compared to previous course offerings. We also noted a lower enrollment, higher participatory effort on both instructors and students, and a subjectively decreased feeling of collaboration. Nevertheless, students rated their perceived learning experience as high and regard HyFlex learning facilities as adequate. In this paper we adopted a HyFlex teaching model that incorporates reduced F2F seating, educational tools such as Blackboard, Panopto, Zoom, Google docs, and Discord. We conclude by discussing some challenges experienced with HyFlex teaching model and recommendations for adopting the teaching model by other instructors who teach CS courses that involve a considerable amount of group activities. © American Society for Engineering Education, 2021","American Society for Engineering Education",21535965,,,"ASEE Annu. Conf. Expos. Conf. Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85124568603
"Smith N.","7403173176;","Teamwork Development and Evaluation for Hybrid Thermal Fluids Laboratory Course",2021,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124556920&partnerID=40&md5=e66c34f3b7130979dcc0672448257c47","Laboratory courses provide an opportunity for students to practice engineering skills in ways not possible in a traditional classroom environment. Hands-on activities challenge their creativity, problem-solving, and critical thinking. Beyond that, labs are an ideal platform for developing teamwork and communication. In normal circumstances, providing quality lab experiences can be resource intensive and logistically challenging, particularly for large class sizes. This year, new safety measures required by Covid-19 have completely changed the equation, adding constraints few of us could have anticipated a year ago. One solution to the Covid-19 puzzle is remote learning; this might involve video demonstration of experiments, simulations, and/or 'at home' experiments. Another option is to continue to offer in-person labs with added safety measures to include mask wearing, social distancing, and enhanced cleaning. For the Fall 2020 thermal-fluids laboratory course at the University of Virginia (UVA), a hybrid model was adopted. Students were given the option to take the class 100% remotely, or they could attend lab in person every other week. During the second week of the semester, entire sections met online for team forming. Though some attempt was made to group in-person students in the same team, several teams had a mix of in-person and remote students. The curriculum was redesigned into two-week blocks. During the 'on' week, students collected data from an experiment they performed in person or watched virtually. During the 'off' week, they worked in teams on various activities including report peer review workshops, a team project, and post-processing of the previous week's experiments. This paper will discuss how the course design fostered team development in the hybrid learning environment. Metrics from each mode of delivery: in-person and remote, are assessed. These will include performance on individual and team assignments, and team member peer evaluations via Comprehensive Assessment of Team Member Effectiveness (CATME) evaluations. © American Society for Engineering Education, 2021","American Society for Engineering Education",21535965,,,"ASEE Annu. Conf. Expos. Conf. Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85124556920
"Shah-Fairbank S.C., Woo J., Lamb K., Cho J.","54897927000;57189847534;54403088800;56367668100;","Students' Teamwork Assessment based on Reflection, Peer Evaluations and Psychological Safety",2021,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124554508&partnerID=40&md5=d77893dc5161cac414f87bfc9078440c","Engineering projects involve a variety of stakeholders: some work within the engineering and construction field, while others do not. These projects entail complex technical facets and face challenges due to scheduling concerns, budget constraints, conflicting viewpoints, or performance issues. To prepare engineering students for the real-world, faculty assign students to teams. However, there are varying levels of commitment and skills regarding effective teamwork among students. To address this disparity, the faculty developed a student regulated learning reflection (SLR) assignment which asks each student to define leadership and teamwork, to complete a confidential peer-evaluation by assessing each team member's performance and answering a psychological safety questionnaire. The criteria looked at leadership, collaboration and inclusivity, responsibility, work quality, meeting deadlines, and communication. First, each student shares their opinion regarding each criterion through a SLR, where faculty review their reflections and provide instruction to improve gaps associated with leadership and teamwork. At the completion of the group project, students evaluate their teams' performance in each criterion using a Likert scale survey. Finally, each student responds to a series of questions in order to evaluate the psychological safety of the team. The results from the SLR, confidential peer-evaluation, and psychological safety questionnaire assisted faculty in evaluating team performance and implement instructional strategies to improve teamwork. Outcomes from this study allow us to develop a continuous improvement plan. © American Society for Engineering Education, 2021","American Society for Engineering Education",21535965,,,"ASEE Annu. Conf. Expos. Conf. Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85124554508
"Beem H.R.","57222071041;","Exploring the Role of Project-based Learning in Building Self-efficacy in First-year African Engineering Students",2021,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124545649&partnerID=40&md5=a846c0c77568d452614bb07568948c93","Many students entering university in Africa have spent the bulk of their school hours learning through rote memorization, which can lead to low academic performance and self-efficacy. A locally-relevant, project-based learning experience was provided to all first year engineering students (N = 91) at Ashesi University in Ghana. Pre and post surveys were administered to understand changes in students' self-efficacy as a result of the intervention. The project scope was to design, build, and fly a quadcopter drone to simulate surveying a mining area in Zimbabwe and transporting items between two sites. This scope was significantly more challenging than anything most of them had done before, as evidenced by less than half of the students reporting prior experience designing and building any product, and nearly a third describing the project as “impossible” at first. Significant (p < 1.04 E-2) increases with medium to large effect sizes (|g| = 0.653 to 1.427) were measured for five of six self-efficacy measures, capturing how students' belief in their own abilities increased as a result of the intervention. The effect size of the increase was largest for those students with no prior experience in fabrication. The intervention had no to small effect size on students' aspirations for how they will use engineering, suggesting that stronger connections should be made to the broader implications of the skills they are acquiring. Some of the top challenges expressed by students shifted from inward-facing ones (such as negative self-perceptions and doubts in their own abilities) to those commonly experienced in group projects (such as teamwork and troubleshooting), providing another indication of increase in self-efficacy. Despite the level of complexity of the project, the top emotions expressed by students upon completion of the project were pride and joy. The use of responsive pedagogy should be further refined in the African context, mechanisms for building self-efficacy in young African engineers should be elicited, and they should be considered equally alongside interventions focused on improving learning outcomes. © American Society for Engineering Education, 2021","American Society for Engineering Education",21535965,,,"ASEE Annu. Conf. Expos. Conf. Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85124545649
"Joshi S., Rhoads B., Jaeger-Helton K., Rivera-Jiménez S.M.","57198880967;55336223200;57195960266;6506764401;","Making it Work in the Virtual Capstone Climate and Beyond: Project-based Perspectives Across a Variety of Programs and Universities",2021,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124540233&partnerID=40&md5=7dec1bf852af9cdb6e622c86009c7672","With all the changes in the educational landscape due to COVID-19, capstone design courses have been uniquely affected. With several transitions to virtual course delivery and/or hybrid models of learning, capstone faculty are now challenged with helping students meet project objectives and deliverables, fostering student team cohesion, and managing sponsor expectations in virtual settings, all while fulfilling the course learning outcomes. While there have been countless programs, communities, and support systems implemented to guide the transition to online teaching, initially there was very little available to systematically understand and support the capstone and PBL community. The objectives of this work are twofold. The first aim is to outline the challenges faced by capstone faculty due to transitions to primarily remote capstone offerings, particularly within the areas of managing sponsorship, completing projects, and producing the associated final project deliverables. The second objective is to open a dialogue to chronicle concerns, gather input, and share best practices across the broader capstone community. The overarching goal is to help overcome -and even rise to- these challenges. This research was conducted by capstone faculty at four different universities. The first phase of this initiative involved research to identify the issues and practices in the existing literature, especially relevant to virtual capstone offerings. The second phase of this research involved a survey of capstone faculty on this topic to reinforce and/or supplement the literature findings as the virtual circumstances evolved. To understand the acute challenges, the survey noted above was conducted with the broader capstone community to include a diversity of faculty associated with capstone at a variety of institutions. This included capstone directors, coordinators, instructors, and advisors. The third phase gathered information through a panel organized and conducted by the authors at the most recent ASEE conference while dealing with societal and academic COVID-19 restrictions. The ASEE panel served as a platform to bring together the capstone community for ongoing dialogue, supplying additional solution recommendations. Results from this research coupled with literature findings indicated the commonality of challenges faced by capstone programs regardless of timing, engineering major, program profile, or type of institution. Among the survey results were the following: (1) Due to COVID-19 conditions, 44% of the respondents reported complete cancellation of this event while 56% reported conducting some form of virtual exposition. The work represented in this paper supports an intention to be agile enough to adapt to any situation along this continuum - and likewise be posed to adjust when our capstone programs must react to emerging circumstances in the future. © American Society for Engineering Education, 2021","American Society for Engineering Education",21535965,,,"ASEE Annu. Conf. Expos. Conf. Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85124540233
"Fajarillo M.L., Moussa A., Li Y.","57450185100;57451084300;57321307800;","Impacting Team-based Learning of First-year Engineering College Students via the Creation of an Upperclassman Project Management Course",2021,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124532397&partnerID=40&md5=787663956ced13dca10eaca308b33803","Engineering curricula excels at introducing students to technical information and engineering design thinking which is important for students to succeed in their future careers. However, “soft skills” such as teamwork is also an essential skill in engineering curricula. Generally, it is common for engineering courses to contain team-based projects ranging from first-year Introduction to Engineering courses to Senior Design/Capstone courses. However, students' experiences in teams vary greatly and when un-facilitated within large courses, students may have negative experiences which impact their future learning. To overcome this issue, a new course: Applications in Project Management in Biomedical Engineering was developed at the University of Massachusetts Lowell. This course is student-led where upper-class students serve as project managers (PMs) to first-year student teams in Introduction to Biomedical Engineering who are conducting semester long design projects. The upper-class students learn about a promising career in engineering project management while immersed in their role as PMs. They are responsible for setting agendas, ensuring quality of deliverables, setting deadlines, and managing conflicts. Several studies have revealed that in industry, the role project managers take have significant impact on project success [1], [2] and that teamwork was positively correlated with project performance. Project success can be achieved with stronger collaboration, team cohesiveness, and team communication [1]. However, project management is rarely discussed or taught in undergraduate engineering programs. In this paper, we analyze how upper-class PMs influence first-year students' perceptions on team dynamics and stress as they go through their semester long design project. Half of the first-year students worked with upper-class PMs (PM group) and half worked traditionally in teams without PMs (Control group) as in previous years. At the end of the semester, a survey was conducted to study the students' perceptions on self-efficacy, confidence, teamwork, and stress. Survey consisted of 5-point Likert scale questions and analyzed with student's T-test. No significant differences were observed on students' self-efficacy, confidence, and stress when the course was taught both virtually and face-to face. However, statistically significant changes were observed when analyzing students' perceptions of teamwork in a face-to-face environment. This included higher ratings when asked about how well the group worked together (p=0.013), about whether the group had similar expectations (0.009), and about whether students supported each other (p=0.019). Further analysis showed that there were significant differences as reported by female and male students. Interestingly, while similar trends were observed when the course was conducted virtually, the data was not significant. Our data shows that incorporation of upper-level project managers in first-year courses can aid in their perceptions of team-based learning and that students with PMs worked better within their teams. © American Society for Engineering Education, 2021","American Society for Engineering Education",21535965,,,"ASEE Annu. Conf. Expos. Conf. Proc.",Conference Paper,"Final","",Scopus,2-s2.0-85124532397
