"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Making Lab Sessions Mandatory — on Student Work Distribution in a Gamified Project Course on Market-Driven Software Engineering","M. Borg","Lund University, Lund, Sweden","2020 IEEE 32nd Conference on Software Engineering Education and Training (CSEE&T)","14 Oct 2020","2020","","","1","10","Unfair work distribution in student teams is a common issue in project-based learning. One contributing factor is that students are differently skilled developers. In a course with group work intertwining engineering and business aspects, we designed an intervention to help novice programmers, i.e., we introduced mandatory programming lab sessions. However, the intervention did not affect the work distribution, showing that more is needed to balance the workload. Contrary to our goal, the intervention was very well received among experienced students, but unpopular with students weak at programming.","2377-570X","978-1-7281-6807-4","10.1109/CSEET49119.2020.9206218","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9206218","project-based learning;group work;intervention","Robots;Education;Software;Programming profession;Task analysis","computer science education;educational courses;software engineering","project-based learning;mandatory programming lab sessions;business aspects;group work intertwining engineering;student teams;unfair work distribution;market-driven software engineering;gamified project course;student work distribution","","","","42","","14 Oct 2020","","","IEEE","IEEE Conferences"
"Authentic Individual Assessment for Team-based Software Engineering Projects","L. Tubino; A. Cain; J. -G. Schneider; D. Thiruvady; N. Fernando","Deakin Learning Futures, Deakin University, Geelong,Geelong,Victoria; School of Information Technology, Deakin University, Geelong,Geelong,Victoria; School of Information Technology, Deakin University, Geelong,Geelong,Victoria; School of Information Technology, Deakin University, Geelong,Geelong,Victoria; School of Information Technology, Deakin University, Geelong,Geelong,Victoria","2020 IEEE/ACM 42nd International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)","28 Dec 2020","2020","","","71","81","In order to give students an authentic learning experience and better prepare them for the life-long learning required in contemporary workplaces, educational institutions increasingly use project-based learning in teams. However, this poses the challenge of developing authentic and equitable assessment criteria that reflect individual contributions in a team-work setting without jeopardizing project outcomes. We present a novel and innovative portfolio-based assessment framework that focuses on qualitative outcomes and ensures that the level of achievement reflects a student's competency across each of the defined learning dimensions, including professional behaviour, teamwork, process and relevant contributions towards project deliverables. In this paper, we present the main motivation behind devising and introducing the framework and also reflect on the educational outcomes and challenges of implementing the framework in the context of two final year Software Engineering project units.","","978-1-4503-7124-7","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9291894","Software Engineering Projects;Individual Assessment;Grading Rubrics","Software engineering;Task analysis;Teamwork;Tools;Software;Portfolios;Training","computer science education;educational administrative data processing;educational institutions;project management;software engineering;team working","educational institutions;authentic assessment criteria;equitable assessment criteria;project outcomes;qualitative outcomes;student competency;learning dimensions;teamwork;project deliverables;educational outcomes;authentic individual assessment;authentic learning experience;life-long learning;contemporary workplaces;final year software engineering project units;innovative portfolio-based assessment;team-based software engineering projects;project-based learning;professional behaviour","","","","43","","28 Dec 2020","","","IEEE","IEEE Conferences"
"Teaching Software Engineering Methods with Agile Games","A. Baumann","IT Service Center Technische Universität München,Munich,Germany","2020 IEEE Global Engineering Education Conference (EDUCON)","25 Jun 2020","2020","","","1550","1553","With agile methodology and international collaboration having become industry standards not only in software engineering, how would we enable students in higher education to gather these experiences? One possible approach presents our intensive course on agile software development, applying games in engineering education, within the framework of a one-week pan-European exchange program. First, we briefly introduce the program that’s held twice a year, offering about 60 scientific intensive courses in each session. Topics come from the research fields at the partner institutions and focus on engineering, natural sciences, and mathematics. Roughly 4,000 students from 24 universities in 15 European countries participate in the program annually. Second, we report on the concept and design of our intensive course on agile software development. We apply a flipped classroom setting to acquire the basic knowledge; we use game-based learning for in-class exercises; we foster project-based and collaborative learning for practical implementation. Finally, we outline the project work in our course and share the most inspiring student projects diving into data-driven visualizations and learning analytics. Thus, the participants gain insights into the real-life application of agile project management methods and international collaboration in heterogeneous teams despite the limited course length.","2165-9567","978-1-7281-0930-5","10.1109/EDUCON45650.2020.9125129","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9125129","Game-based Learning;Project-based Learning;Agile Methodologies Teaching;International Student Teams;Teaching case","Visualization;Agile software development;Project management;Games;International collaboration;Mathematics;Online services","computer aided instruction;computer science education;educational courses;educational institutions;engineering education;further education;project management;serious games (computing);software engineering;teaching","intensive course;agile software development;engineering education;one-week pan-European exchange program;European countries;collaborative learning;inspiring student;agile project management methods;international collaboration;course length;agile games;agile methodology;industry standards;higher education;software engineering method teaching;scientific intensive courses","","1","","22","","25 Jun 2020","","","IEEE","IEEE Conferences"
"Research of the course design based on project-based learning for college computer major","G. Song; C. Wang; Y. Nie; G. Chen","Ningbo Institute of Technology Zhejiang University,Ningbo,China; Ningbo Institute of Technology Zhejiang University,Ningbo,China; Ningbo University,College of Science and Technology,Ningbo,China; Ningbo Institute of Technology Zhejiang University,Ningbo,China","2020 International Conference on Big Data and Informatization Education (ICBDIE)","28 Jul 2020","2020","","","435","439","This study describes the course design method based on project-based learning (PBL) for college computer major, which includes two parts: a step-by-step decomposition course design method and a hybrid teaching model combining online and offline. These two teaching reform methods take PBL as the core, integrate the engineering training content of computer specialized courses, and finally form a unified major project. The results of the surveys and the final grade show that the teaching reform methods encourage students' motivation and improve their ability. The students not only acquire better technical training, but also improve their specialized skills. This paper is also pointed out that the course design based on PBL requires to be further promoted and implemented.","","978-1-7281-5900-3","10.1109/ICBDIE50010.2020.00108","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9150236","course design;project-based learning;engineering training;project decomposition","Tools;Training;Software;Computational modeling;Design methodology;Artificial intelligence","computer aided instruction;computer science education;educational courses;educational institutions;teaching","step-by-step decomposition course design method;hybrid teaching model;teaching reform methods;PBL;engineering training content;computer specialized courses;unified major project;final grade show;college computer","","1","","8","","28 Jul 2020","","","IEEE","IEEE Conferences"
"Experiences and Lessons Learned from Onsite and Remote Teamwork Based Courses in Software Engineering","J. Porras; A. Happonen; J. Khakurel","LUT University,LUT School of Engineering Science,Lappeenranta,Finland; LUT University,LUT School of Engineering Science,Lappeenranta,Finland; LUT University,LUT School of Engineering Science,Lappeenranta,Finland","2021 International Conference on Data and Software Engineering (ICoDSE)","22 Dec 2021","2021","","","1","9","Education is changing rapidly towards digital and online forms in universities. E.g. digitalization and Massively Open Online Course (MOOC)s evolve remote education tools, which changes the teaching approaches. Covid-19 accelerated digital transition from classroom-based education towards hybrid models, then online classes and finally to fully online education. While the education has moved from classrooms to Internet environment, the suitability of this transition has not really been evaluated. This is especially important to teamwork based courses in which the collaboration within teams and between teams is considered a major part of the learning outcomes of the course. Our study presents experiences on transforming a set of software engineering courses from a fully onsite course to a fully online course and lessons we have learned on that transition. We analyze hackathon and capstone style courses for traditional and remote execution modes. We have used hackathons for decades and have experience of different types of implementations. For capstones we have two different courses that we have experience with. Analyzing the team-based courses shows focal points which area hard to solve with online approaches. Online environment does not only make students faceless to the teacher but also to other teammates. This is especially visible in the long-lasting capstone courses.","2640-0227","978-1-6654-9453-3","10.1109/ICoDSE53690.2021.9648490","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9648490","online education;hackathon;capstone;software engineering;teamwork;collaboration;digitalization","COVID-19;Technological innovation;Education;Companies;Reflection;Teamwork;Internet","computer aided instruction;computer science education;distance learning;educational courses;educational institutions;groupware;Internet;software engineering;teaching","software engineering courses;hackathon;Massively Open Online Course;capstone style courses;remote execution modes;teamwork based courses;digitalization;covid-19 accelerated digital transition;classroom-based education;online classes;online education;learning outcomes;remote education tools;onsite course;MOOC","","","","40","IEEE","22 Dec 2021","","","IEEE","IEEE Conferences"
"Bringing Students and Companies together by means of Project Development","P. Fonseca; S. Sargento; A. Oliveira","Universidade de Aveiro,Instituto de Telecomunicações,Aveiro,Portugal; Universidade de Aveiro,Instituto de Telecomunicações,Aveiro,Portugal; Universidade de Aveiro,Instituto de Telecomunicações,Aveiro,Portugal","2020 IEEE Global Engineering Education Conference (EDUCON)","25 Jun 2020","2020","","","504","511","Practicing engineers are expected to effectively work in teams and manage projects besides being capable of producing sound technical solutions. Project based learning allows students to improve their skills in issues such as team work and project management, and applying their knowledge in concrete situations. This paper describes an approach to Project Based Learning that has been recently introduced in a Master degree in Electronic and Telecommunications Engineering. In this course unit, students develop a project to solve a problem proposed by a company. A person from the company follows the project development, along with a faculty member. During the academic year 2018-19, students organized developed 14 projects, originating from 12 different companies. The outcome of this first edition is assessed using three data sources: academic data (assessment marks and approval rates); the University quality assurance enquiry; and a survey, developed specifically for “Industrial Project”. The results show that both students and supervisors agree that the course organization is adequate and capable of engaging students and participating companies.","2165-9567","978-1-7281-0930-5","10.1109/EDUCON45650.2020.9125204","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9125204","design practice;electrical engineering;industry involvement;project based learning;professional skills;team based learning","Quality assurance;Soft sensors;Conferences;Project management;Companies;Teamwork;Telecommunications","computer aided instruction;educational courses;electronic engineering computing;electronic engineering education;further education;project management;quality assurance;team working;telecommunication computing;telecommunication engineering education","project development;practicing engineers;sound technical solutions;team work;project management;Industrial Project;project based learning;Electronic and Telecommunications Engineering;course unit;academic data;university quality assurance enquiry","","2","","21","","25 Jun 2020","","","IEEE","IEEE Conferences"
"Project based learning via solving a real business need by a multidisciplinary group of students","S. S. Martínez; D. M. Gila; P. C. Marchal; A. Kakko; J. G. Ortega; J. G. García","Ingeniería Electrónica y Automática, Universidad de Jaén,Jaén,España; Ingeniería Electrónica y Automática, Universidad de Jaén,Jaén,España; Ingeniería Electrónica y Automática, Universidad de Jaén,Jaén,España; HEIBus Project Manager, JAMK University of Applied Sciences,Jyväskylä,Finlandia; Ingeniería Electrónica y Automática, Universidad de Jaén,Jaén,España; Ingeniería Electrónica y Automática, Universidad de Jaén,Jaén,España","2020 XIV Technologies Applied to Electronics Teaching Conference (TAEE)","11 Aug 2020","2020","","","1","6","This work presents a new project based learning methodology focused on solving case studies proposed by companies. The methodology is based on one of the models proposed in the European KA2 Erasmus + Project titled “Smart HEI-Business collaboration for skills and competitiveness” (HEIBus). This project was formed by a consortium of 5 European universities and 7 companies with international activities and was focused on the development and implementation of new models for business-university cooperation. The model of cooperation between university students and companies was implemented using case studies proposed by companies to groups of multidisciplinary students. This model has been adapted to a project based learning methodology that will be applied in several courses in the Electronics and Automation Department of the University of Jaén.","","978-1-7281-6732-9","10.1109/TAEE46915.2020.9163672","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9163672","Palabras clave-Project-based learning;university-business cooperation;multidisciplinary","Companies;Education;Robot sensing systems;Computer vision;Europe;Temperature sensors","computer aided instruction;computer science education;educational courses;educational institutions","university students;multidisciplinary students;learning methodology;multidisciplinary group;European universities;business-university cooperation;smart HEI-Business collaboration;European KA2 Erasmus + project","","","","14","","11 Aug 2020","","","IEEE","IEEE Conferences"
"The Triangulation Assessment Model for Capstone Project in Software Engineering","R. Ferdiana","Universitas Gadjah Mada,Department of Electrical Engineering and Information Engineering,Yogyakarta,Indonesia","2020 12th International Conference on Information Technology and Electrical Engineering (ICITEE)","1 Dec 2020","2020","","","131","134","In this article, we discuss how to assess the capstone project in the software engineering domain. The main problem to assess the capstone project in software engineering is the subjectivity and non-standardization of the assessment model. Therefore, there are some challenges to make the assessment consistent between one project to the other. This article proposed a triangulation assessment model for two types of capstone projects in software engineering fields based on the Delphi study performed in one academic year in winter and spring 2019. This article evaluates the consistency of the triangulation assessment model in 10 capstone projects. As a result, the Delphi study clustered this article contribution into three themes: (1) typical capstone project in the software engineering field, (2) triangulation of assessment model in capstone, (3) the characteristics of successful capstone project.","","978-1-7281-1097-4","10.1109/ICITEE49829.2020.9271781","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9271781","assessment model;capstone project;software engineering","Software;Software engineering;Instruments;Electrical engineering;Information technology;Information systems;Conferences","project management;software development management","software engineering field;capstone project;triangulation assessment model;software engineering domain;Delphi study","","","","10","","1 Dec 2020","","","IEEE","IEEE Conferences"
"Development of Network Applications and Services Through Project-Based Learning to Meet 21<sup>st</sup> Century Skills","M. Vijayalakshmi; M. M. Raikar","KLE Technological Univeristy,School of Computer Science and Engineering; KLE Technological Univeristy,School of Computer Science and Engineering","2021 IEEE Global Engineering Education Conference (EDUCON)","18 Jun 2021","2021","","","1167","1174","Networking Industry has wide opportunities for Computer Science graduates with the skills of cloud architecture, cyber security, Internet of Things, which are converging areas. Computer Network is a fundamental course in the Computer Science stream, has a challenge in teaching / learning the concepts of networking, which is considered to be a black box. The objective is to open up this black box content through Project-Based Learning (PBL) to better the conceptual understanding and enhance the 21st-century skills required to develop network applications and the services.The PBL activity has helped the students in contributing to developing real time network based solutions collaboratively.The analysis of pre and post-test data shows a 20% improvement in network concepts learned. The peer and self-assessment results demonstrate a 10% improvement in 21<sup>st</sup> century skills such as collaborative, critical thinking and creativity.","2165-9567","978-1-7281-8478-4","10.1109/EDUCON46332.2021.9454133","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9454133","PBL;Critical Thinking;Application Layer;Assessment","Computer science;Industries;Protocols;Computational modeling;Conferences;Real-time systems;Computer networks","computer aided instruction;computer science education;educational courses;teaching","network applications;st century skills;Networking Industry;wide opportunities;cloud architecture;cyber security;Internet of Things;Computer Network;fundamental course;Computer Science stream;black box content;21st-century skills;time network based solutions;network concepts","","","","24","","18 Jun 2021","","","IEEE","IEEE Conferences"
"Improving Multidisciplinary Understanding Through Interdisciplinary Project-based Learning in a First-Year Orientation Course","M. McCormick; J. Parham-Mocello; D. Heer","Oregon State University,Electrical Engineering and Computer Science,Corvallis,United States; Oregon State University,Electrical Engineering and Computer Science,Corvallis,United States; Oregon State University,Electrical Engineering and Computer Science,Corvallis,United States","2020 IEEE Frontiers in Education Conference (FIE)","4 Dec 2020","2020","","","1","9","This is an Innovate Practice Full Paper. Creating modern systems with tightly integrated sub-systems relies heavily on multidisciplinary cooperation. Establishing an early value for other areas of expertise is crucial to encouraging later collaborations. This paper discusses a new first-term orientation course in Electrical and Computer Engineering at Oregon State University that is primarily taken by students pursuing a degree in Electrical and Computer Engineering. This course emphasizes collaboration and the importance of a multidisciplinary approach in engineering. The 10-week course contains engineering skills, tools, and concepts from three disciplines of engineering: Computer Science, Electrical & Computer Engineering, and Mechanical Engineering. Materials focus on how each discipline supports the other disciplines in modern engineering. Students attend one, one-hour lecture and two, two-hour labs per week. The lecture covers general engineering concepts including engineering process, design, and tools/skills. Student engineers work in teams of three, with each student focusing on a different engineering discipline. Teams design, implement, and improve on a competitive robotic project. Assessment using student surveys shows a 13% higher self-reported ability to recognize and avoid personal and engineering discipline bias from students enrolled in the new course when compared to students in the traditional course. This higher assessment value has a confidence interval of p=.005 using a two-tail T-test. Using student surveys and assignments, additional preliminary improvements were seen in student's ability to identify the need of another engineer/engineering profession to complete a portion of a project and understanding of other majors.","2377-634X","978-1-7281-8961-1","10.1109/FIE44824.2020.9274096","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9274096","lab;first year;multidisciplinary;self-efficacy;interdisciplinary;collaborative","Collaboration;Robots;Electrical engineering;Tutorials;Tools;Software;Servomotors","computer science education;educational courses;electrical engineering education;mechanical engineering","electrical & computer engineering;general engineering concepts;interdisciplinary project-based learning;first-year orientation course;multidisciplinary understanding;traditional course;competitive robotic project;student engineers;modern engineering;mechanical engineering;computer science;Oregon State University;first-term orientation course;multidisciplinary cooperation","","","","13","","4 Dec 2020","","","IEEE","IEEE Conferences"
"Adopting Industry Agile Practices in Large-scale Capstone Education","J. -G. Schneider; P. W. Eklund; K. Lee; F. Chen; A. Cain; M. Abdelrazek","School of Information Technology, Deakin University, Geelong,Geelong,Victoria; School of Information Technology, Deakin University, Geelong,Geelong,Victoria; School of Information Technology, Deakin University, Geelong,Geelong,Victoria; School of Information Technology, Deakin University, Geelong,Geelong,Victoria; School of Information Technology, Deakin University, Geelong,Geelong,Victoria; School of Information Technology, Deakin University, Geelong,Geelong,Victoria","2020 IEEE/ACM 42nd International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)","28 Dec 2020","2020","","","119","129","This paper presents the practice and experience in adopting an agile organizational model for a final-year capstone program in Software Engineering. The model developed is motivated by having real (and developing) software artifacts with incrementally changing team members working on a product-line. This in turn results in more sophisticated capstone student-project outcomes. The model proposed supports student mentoring and promotes, through its internal organization, leadership and personal responsibility. The students are supported by professional software engineers, up-skilling workshops, and academic supervisors who act as a personalized reporting and grading point for the team. The academic supervisors are themselves supported by a tribe leader, a faculty member who assumes overall responsibility for a product-line, and who acts as a report to an external industry client/ sponsor. This paper describes the motivation for the capstone model, its adoption, and some preliminary observations.","","978-1-4503-7124-7","","Deakin University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9291821","Software engineering education;agile software development;capstone education","Education;Software engineering;Industries;Software;Scalability;Stakeholders;Employment","computer aided instruction;computer science education;educational courses;software product lines;software prototyping;team working","academic supervisors;personalized reporting;grading point;product-line;industry agile practices;large-scale capstone education;agile organizational model;final-year capstone program;software engineering;software artifacts;incrementally changing team members;sophisticated capstone student-project outcomes;student mentoring;leadership;personal responsibility;professional software engineers;up-skilling workshops;internal organization","","","","43","","28 Dec 2020","","","IEEE","IEEE Conferences"
"Who Does What? Work Division and Allocation Strategies of Computer Science Student Teams","A. van der Meulen; E. Aivaloglou","University of Leiden, The Netherlands; University of Leiden, The Netherlands; Open University of The Netherlands","2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering Education and Training (ICSE-SEET)","7 May 2021","2021","","","273","282","Collaboration skills are important for future software engineers. In computer science education, these skills are of-ten practiced through group assignments, where students develop software collaboratively. The approach that students take in these assignments varies widely, but often involves a division of labour. It can then be argued whether collaboration still takes place. The discipline of computing education is especially interesting in this context, because some of its specific features (such as the variation in entry skill level and the use of source code repositories as collaboration platforms) are likely to influence the approach taken within groupwork. The aim of this research is to gain insight into the work division and allocation strategies applied by computer science students during group assignments. To this end, we interviewed twenty students of four universities. The thematic analysis shows that students tend to divide up the workload to enable working independently, with pair programming and code reviews being often employed. Motivated primarily by grade and efficiency factors, students choose and allocate tasks primarily based on their prior expertise and preferences. Based on our findings, we argue that the setup of group assignments can limit students' motivation for practicing new software engineering skills, and that interventions are needed towards encouraging experimentation and learning.","","978-1-6654-0138-8","10.1109/ICSE-SEET52601.2021.00037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9402173","Computing education, group projects, team work, programming","Training;Collaboration;Software;Resource management;Task analysis;Programming profession;Software engineering","computer aided instruction;computer science education;educational courses;educational institutions;groupware;human factors;programming;software engineering;source code (software);team working","pair programming;code reviews;group assignments;software engineering skills;computer science student teams;collaboration skills;computer science education;entry skill level;source code repositories;collaboration platforms;work division;allocation strategies;task allocation;students motivation","","","","41","","7 May 2021","","","IEEE","IEEE Conferences"
"Students’ professional competencies in computing project courses in the Norwegian context","J. Szynkiewicz; G. M. Lundberg; M. Daniels","Nord University,Faculty of Sociology,Steinkjer,Norway; Norwegian University of Science and Technology,Department of Computer Science,Trondheim,Norway; Uppsala University,Department of Information Technology,Uppsala,Sweden","2020 IEEE Frontiers in Education Conference (FIE)","4 Dec 2020","2020","","","1","9","In this Research Full Paper we look at IT students' experiences from collaborative project-based courses at two Norwegian universities through the lens of ""Curtin graduate attributes"". Many universities use lists of graduate attributes, sometimes referred to as competencies, generic skills, or capabilities that graduates should acquire during their studies. For the time being, these two Norwegian higher education institutions have not implemented graduate attributes into their curricula, though there are several ongoing initiatives that promote students' employability and development of professional competencies. Through interviews, observations, and thematic analysis with overtones of grounded theory, we aim to identify Norwegian IT students' perceptions of professional competencies acquired at project-based learning courses. The findings are analysed through the use of the identity and employability frameworks, taking into consideration the cultural context. This paper answers two research questions: 1) What professional competencies do students acquire in project-based learning settings? 2) How do project-based learning courses support the development of employability and identity? We have identified that putting more emphasis on graduate attributes can help to legitimise diverse ways of participation in the computing discipline and at the same time broaden its identity.","2377-634X","978-1-7281-8961-1","10.1109/FIE44824.2020.9274073","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9274073","Employability;Identity;PBL;Professional Competencies","Education;Charge coupled devices;Teamwork;Lenses;Companies;Games;Cultural differences","computer aided instruction;computer science education;educational courses;educational institutions;further education","collaborative project-based courses;Norwegian universities;Curtin graduate attributes;Norwegian higher education institutions;professional competencies;project-based learning courses;students' professional competencies;computing project courses;IT students","","1","","50","","4 Dec 2020","","","IEEE","IEEE Conferences"
"Software Engineering Education: Challenges and Perspectives","S. Ouhbi; N. Pombo","UAE University Al Ain,Dept. Computer Science & Software Eng.,Abu Dhabi,UAE; Instituto de Telecomunicações Universidade da Beira Interior,Covilhã,Portugal","2020 IEEE Global Engineering Education Conference (EDUCON)","25 Jun 2020","2020","","","202","209","The software engineering community celebrated, in 2018, the 50th anniversary of what is considered to be the official start of the profession of software engineering. Software engineering is a young and promising discipline which is still under development and improvement. This is reflected when teaching software engineering in higher education. The aim of this study is to investigate the challenges and perspectives of software engineering education. To do so, a questionnaire study was conducted. 21 software engineering faculty and experts in teaching software engineering related courses participated in this study. The questionnaire contained demographic questions, questions related to students’ engagement and to different methodologies adopted by respondents in the classroom. Results showed that the majority of respondents found engaging students in software engineering courses to be the biggest challenge they faced in the classroom. Almost half of the participants found difficulties designing practical activities for students. Results also revealed that the problem-based learning approach is the most used in software engineering lectures, followed by gamification techniques and role-playing which are new trends used to engage students. Moreover, the majority of the participants considered that the adoption of new teaching methodologies in the classroom produced high impact in the students’ learning experience. Based on the outcomes of this questionnaire study, a conceptual model to engage students in software engineering courses is proposed. For future work, complementary studies should be implemented to evaluate the proposed model in a real-world scenarios including its effect on the achievement of learning outcomes.","2165-9567","978-1-7281-0930-5","10.1109/EDUCON45650.2020.9125353","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9125353","Software Engineering;Teaching Methodologies;Students’ engagement;Education","Terminology;Conferences;Education;Market research;Software;Engineering education;Faces","computer aided instruction;computer science education;educational courses;further education;software engineering;teaching","classroom;software engineering courses;software engineering lectures;questionnaire study;software engineering education;software engineering community;software engineering faculty;higher education;demographic questions;problem-based learning approach;gamification techniques;teaching methodologies;students engagement","","10","","48","","25 Jun 2020","","","IEEE","IEEE Conferences"
"Pedagogies of Machine Learning in K-12 Context","I. Temitayo Sanusi; S. Sunday Oyelere","University of Eastern Finland,School of Computing,Joensuu,Finland; University of Eastern Finland,School of Computing,Joensuu,Finland","2020 IEEE Frontiers in Education Conference (FIE)","4 Dec 2020","2020","","","1","8","This research Full paper presents the pedagogies of machine learning in K-12. The new learning pedagogies and technologies are introduced with the aim of enhancing student engagement, experience and learning outcome. This study examined how machine learning has been taught in the recent past and further explores the ways and suitable approaches for K-12 context. Literatures on pedagogies associated with machine learning were reviewed to understand the dynamics and suitability of these pedagogies to support machine learning teaching. Though studies have explored pedagogies for machine learning in higher education context, few studies explored pedagogical strategies for teaching machine learning in K-12. In all, the pedagogies employed in teaching and learning of machine learning has not witnessed much research in literature. The pedagogical strategies revealed in the literature are mostly adopted in the higher education institutions to enable the of teaching machine learning concepts. The literature survey revealed several pedagogical strategies such as problem-based learning, project-based learning and collaborative learning used in higher education institutions. The revealed pedagogies suggest learners-centered approaches such as active learning, inquiry-based, participatory learning, design-oriented learning among others will be suitable for teaching machine learning in K-12 settings.","2377-634X","978-1-7281-8961-1","10.1109/FIE44824.2020.9274129","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9274129","pedagogy;machine learning;K-12;digital technologies;active learning","Education;Machine learning;Artificial intelligence;Computer aided instruction;Learning (artificial intelligence);Tools;SPICE","computer aided instruction;further education;learning (artificial intelligence);teaching","learning pedagogies;machine learning teaching;K-12 context;student engagement;higher education;project-based learning;problem-based learning","","","","80","","4 Dec 2020","","","IEEE","IEEE Conferences"
"Project-Based CPS Education: A Case Study of an Autonomous Driving Student Project","N. Ueter; K. -H. Chen; J. -J. Chen","TU Dortmund University; TU Dortmund University; Design Automation of Embedded Systems Group, TU Dortmund University, Dortmund, Germany","IEEE Design & Test","25 Nov 2020","2020","37","6","39","46","Competences required for designing cyber-physical systems cannot be acquired in classical lecture-based education. This article explains how project-based learning enables students to work in teams on problems extending beyond their traditional disciplines. The approach can be used as a blueprint for project-based teaching of CPS design.","2168-2364","","10.1109/MDAT.2020.3012085","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9149697","Cyber-Physical Systems;Education;Engineering;Robotics;Autonomous Driving;Student Projects","Sensors;Cyber-physical systems;Autonomous vehicles;Education;Robots","computer aided instruction;computer science education;cyber-physical systems;teaching","project-based CPS education;autonomous driving student project;cyber-physical systems;classical lecture-based education;project-based learning;project-based teaching;CPS design","","2","","12","IEEE","27 Jul 2020","","","IEEE","IEEE Magazines"
"The Application of PBL + Flipped Classroom Teaching Mode in Computer Practice Courses","C. Chunhong; J. Ce; G. Rong","Northeast University,School of Computer Science and Technology,Shenyang,China; Northeast University,School of Computer Science and Technology,Shenyang,China; Northeast University,School of Computer Science and Technology,Shenyang,China","2021 10th International Conference on Educational and Information Technology (ICEIT)","15 Mar 2021","2021","","","1","4","Limited by teachers and inherent teaching mode, the teaching effect of practical courses in colleges and universities is limited. With the moocs, small-scale restricted online courses used in teaching increasingly; modern undergraduate computer teaching is facing great changes. On the defects of traditional indoctrination teaching model, many new teaching methods are emerging in the teaching of related courses. The teaching method of PBL (Problem Based Learning) is an important direction of teaching mode reform. This paper puts forward the teaching mode of PBL+ flipped classroom and designed based on the PBL classroom teaching model framework. On the premise of strengthening knowledge learning, students' practical ability and creative ability are enhanced.","","978-1-6654-2295-6","10.1109/ICEIT51700.2021.9375558","Northeastern University; Northeastern University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9375558","PBL;Flip teaching;Practical computer courses","Computational modeling;Education;Organizations;Teamwork;Online services;Information technology","computer aided instruction;computer science education;educational courses;educational institutions;further education;teaching","flipped classroom teaching mode;computer practice courses;colleges;universities;teaching mode reform;PBL classroom teaching model framework;undergraduate computer teaching;problem based learning","","","","7","","15 Mar 2021","","","IEEE","IEEE Conferences"
"Industry Agile Practices in Large-scale Capstone Projects","J. -G. Schneider; P. W. Eklund; K. Lee; F. Chen; A. Cain; M. Abdelrazek","Deakin University,School of Information Technology,Geelong,Australia; Deakin University,School of Information Technology,Geelong,Australia; Deakin University,School of Information Technology,Geelong,Australia; Deakin University,School of Information Technology,Geelong,Australia; Deakin University,School of Information Technology,Geelong,Australia; Deakin University,School of Information Technology,Geelong,Australia","2020 IEEE/ACM 42nd International Conference on Software Engineering: Companion Proceedings (ICSE-Companion)","1 Dec 2020","2020","","","326","327","To give students as authentic learning experience as possible, many software-focused degrees incorporate team-based capstone projects in the final year of study. Designing capstone projects, however, is not a trivial undertaking, and a number of constraints need to be considered, especially when it comes to defining learning outcomes, choosing clients and projects, providing guidance to students, creating an effective project ""support infrastructure"", and measuring student outcomes. To address these challenges, we propose a novel, scalable model for managing capstone projects, called ACE, that adapts Spotify's Squads and Tribes organization to an educational setting. We present our motivation, the key components of the model, its adoption, and refer to preliminary observations.","2574-1926","978-1-4503-7122-3","","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9270367","Software Engineering Education;Agile Software Development;Cap-stone Projects","Education;Industries;Software engineering;Software;Adaptation models;Scalability;Mentoring","computer aided instruction;computer science education;educational courses;engineering education;software prototyping","industry agile practices;authentic learning experience;capstone projects;software-focused degrees incorporate team;project support infrastructure;Spotify squads;ACE;educational setting","","","","8","","1 Dec 2020","","","IEEE","IEEE Conferences"
